compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
"3,4-dimethoxystyrene",7909,"3,4-Dimethoxystyrene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_3-(2-furyl)propionate,7910,Ethyl_3-(2-furyl)propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_isovalerate,7911,Hexyl_isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
d-lactic_acid,7912,D-Lactic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"3-acetyl-2,5-dimethylfuran",7913,"3-Acetyl-2,5-dimethylfuran",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
celestolide,7914,Celestolide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-(ethoxymethyl)-2-methoxyphenol,7915,4-(Ethoxymethyl)-2-methoxyphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ethyl_3-(methylthio)propionate,7916,Ethyl_3-(methylthio)propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,4-dimethyl-1,2-cyclopentanedione",7917,"3,4-Dimethyl-1,2-cyclopentanedione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
13494-07-0,7918,13494-07-0,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_3-(methylthio)propionate,7919,Methyl_3-(methylthio)propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,4,5-trimethylthiazole",7920,"2,4,5-Trimethylthiazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-(methylthio)-2-butanone,7921,1-(Methylthio)-2-butanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-5-(methylthio)furan,7922,2-Methyl-5-(methylthio)furan,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
furfuryl_isovalerate,7923,Furfuryl_isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
difurfuryl_sulfide,7924,Difurfuryl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-furfuryl_thioacetate,7925,S-Furfuryl_thioacetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-(methoxymethyl)furan,7926,2-(Methoxymethyl)furan,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-methyl_2-furancarbothioate,7927,S-Methyl_2-furancarbothioate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
13679-70-4,7928,13679-70-4,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
13679-85-1,7929,13679-85-1,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
13679-86-2,7930,13679-86-2,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-methylquinoxaline,7931,5-Methylquinoxaline,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isopropyl-5-methylpyrazine,7932,2-Isopropyl-5-methylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-ethylsyringol,7933,4-Ethylsyringol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-isobutylpyridine,7934,3-Isobutylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
9-decenoic_acid,7935,9-Decenoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
perillyl_acetate,7936,Perillyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
limonen-10-yl_acetate,7937,Limonen-10-yl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isopropyl-4-methylthiazole,7938,2-Isopropyl-4-methylthiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_2-methylbutyrate,7939,Butyl_2-methylbutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,4-dimethylbenzaldehyde",7940,"2,4-Dimethylbenzaldehyde",aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4-ethyloctanoic_acid,7941,4-Ethyloctanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
octadienal,7942,Octadienal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dec-4-enal,7943,Dec-4-enal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-acetyl-3-ethylpyrazine,7944,2-Acetyl-3-ethylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methylthio-2-butanone,7945,4-Methylthio-2-butanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
allyl_methyl_trisulfide,7946,Allyl_Methyl_Trisulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
piperitenone_oxide,7947,Piperitenone_oxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
theaspirane,7948,Theaspirane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
furan-2-ylmethyl_pentanoate,7949,furan-2-ylmethyl_pentanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-acetyl-1-ethylpyrrole,7950,2-Acetyl-1-ethylpyrrole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methylnonanoic_acid,7951,4-Methylnonanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"2-ethyl-4,5-dimethyloxazole",7952,"2-Ethyl-4,5-dimethyloxazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methyloctanoic_acid,7953,4-Methyloctanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
p-tolyl_isovalerate,7954,p-Tolyl_isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-dimethyl-1,4-dithiane-2,5-diol",7955,"2,5-Dimethyl-1,4-dithiane-2,5-diol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
56424-87-4,7956,56424-87-4,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-3-tetrahydrofuranthiol,7957,2-Methyl-3-tetrahydrofuranthiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
furfuryl_methyl_disulfide,7958,Furfuryl_methyl_disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
linalyl_butyrate,7959,Linalyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
terpinyl_propionate,7960,Terpinyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-phenylethyl_acetate,7961,1-Phenylethyl_acetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
p-menthan-2-ol,7962,p-Menthan-2-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-(methylthio)propyl_isothiocyanate,7963,3-(Methylthio)propyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1125-21-9,7965,1125-21-9,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzaldehyde_dimethyl_acetal,7966,Benzaldehyde_dimethyl_acetal,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dihydrojasmone,7967,Dihydrojasmone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,2,4-trimethyl-1,3-dioxolane",7968,"2,2,4-Trimethyl-1,3-dioxolane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1195-32-0,7969,1195-32-0,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentanethiol,7970,2-Pentanethiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentyl_valerate,7971,Pentyl_valerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
allyl_methyl_disulfide,7972,Allyl_Methyl_Disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-methyl_thiobutyrate,7973,S-Methyl_thiobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylbutyl_isovalerate,7974,2-Methylbutyl_isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-vinylphenol,7975,4-Vinylphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-ethyl-2-methoxyphenol,7976,4-Ethyl-2-methoxyphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-hydroxy-2-pentanone,7977,3-Hydroxy-2-Pentanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"4,5-dimethylthiazole",7978,"4,5-Dimethylthiazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,4-hexanedione",7979,"3,4-Hexanedione",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_3-hydroxybutyrate,7980,Ethyl_3-hydroxybutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heptyl_butyrate,7981,Heptyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tridec-2-enal,7982,tridec-2-enal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isobutylthiazole,7983,2-Isobutylthiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
28664-35-9,7984,28664-35-9,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropenylpyrazine,7985,Isopropenylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
whiskey_lactone,7986,Whiskey_lactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octyl_2-furoate,7987,Octyl_2-furoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-diethyltetrahydrofuran",7988,"2,5-Diethyltetrahydrofuran",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-epigallocatechin_gallate,7990,(-)-Epigallocatechin_gallate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gallocatechin,7991,Gallocatechin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ginkgolide_b,7992,Ginkgolide_B,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-methyl_2-methylbutanethioate,7993,S-Methyl_2-methylbutanethioate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"4-acetyl-1,4-dimethyl-1-cyclohexene",7994,"4-Acetyl-1,4-dimethyl-1-cyclohexene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-(methylthio)-1-hexanol,7995,3-(Methylthio)-1-hexanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_4-(methylthio)butyrate,7996,Methyl_4-(methylthio)butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-ethyl-2-hydroxy-3-methylcyclopent-2-en-1-one,7997,5-Ethyl-2-hydroxy-3-methylcyclopent-2-en-1-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6-hydroxydihydrotheaspirane,7998,6-Hydroxydihydrotheaspirane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cedrol,7999,Cedrol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
verbenone,8000,Verbenone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
valerophenone,8001,Valerophenone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
allyl_methyl_sulfide,8002,Allyl_methyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
xanthoxylin,8003,Xanthoxylin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octyl_benzoate,8004,Octyl_benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(+)-linalool,8005,(+)-Linalool,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,2,3,5,6-pentathiepane",8006,"1,2,3,5,6-Pentathiepane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tangeretin,8007,Tangeretin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
chavicol,8008,Chavicol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
perillen,8009,Perillen,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
artemisia_ketone,8010,Artemisia_ketone,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isobutyl_isothiocyanate,8011,Isobutyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-propylpyridine,8012,2-Propylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pentyl_isothiocyanate,8013,Pentyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-hydroxy-4-methoxybenzaldehyde,8014,2-Hydroxy-4-methoxybenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
allyl_thiocyanate,8015,Allyl_thiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-hexen-1-ol,8016,5-Hexen-1-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(+)-isomenthone,8017,(+)-Isomenthone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-epicatechin,8018,(-)-Epicatechin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-epigallocatechin,8019,(-)-Epigallocatechin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isoflavone,8020,Isoflavone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nobiletin,8021,Nobiletin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-methyl_thioacetate,8022,S-Methyl_thioacetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_isothiocyanate,8023,Isopropyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(r)-(+)-citronellal,8024,(R)-(+)-Citronellal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-methyl_hexanethioate,8025,S-Methyl_hexanethioate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diallyl_tetrasulfide,8026,Diallyl_tetrasulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-butenyl_isothiocyanate,8027,3-Butenyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-dimethylthiazole",8028,"2,5-Dimethylthiazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-vinylpyrazine,8029,2-Vinylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diisopropyl_disulfide,8030,Diisopropyl_disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_isothiocyanate,8031,Hexyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
sec-butyl_isothiocyanate,8032,sec-Butyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
heptyl_isothiocyanate,8033,Heptyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
erucin,8692,Erucin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_(methylthio)acetate,8035,Ethyl_(methylthio)acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methyl-3-butenyl_acetate,8036,3-Methyl-3-butenyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-(methylthio)ethanol,8037,2-(Methylthio)ethanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diosphenol,8038,Diosphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3-methylbutyl_isothiocyanate,8039,3-Methylbutyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-pyrroline,8040,1-Pyrroline,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"tetrasulfide,_dimethyl",8041,"Tetrasulfide,_dimethyl",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"4-ethyl-1,2-dimethoxybenzene",8042,"4-Ethyl-1,2-dimethoxybenzene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diisopropyl_trisulfide,8043,Diisopropyl_trisulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
carvacryl_methyl_ether,8044,Carvacryl_methyl_ether,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,4-dimethylanisole",8045,"2,4-Dimethylanisole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-phenylethyl_pentanoate,8046,2-Phenylethyl_pentanoate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7785-70-8,8047,7785-70-8,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
l-alpha-fenchone,8048,l-alpha-Fenchone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
methyl_2-(dimethylamino)benzoate,8049,Methyl_2-(dimethylamino)benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
13002-09-0,8050,13002-09-0,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_phenyl_disulfide,8051,Methyl_phenyl_disulfide,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
isopinocamphone,8052,Isopinocamphone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rosefuran,8053,rosefuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethylthiazole,8054,2-Ethylthiazole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-(methylthio)propyl_acetate,8055,3-(Methylthio)propyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_(methylthio)acetate,8056,Methyl_(methylthio)acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
naringen,8057,Naringen,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
14400-67-0,8058,14400-67-0,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-bisabolene,8059,alpha-Bisabolene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alpha-bergamotene,8060,alpha-Bergamotene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
.alpha.-cubebene,8061,.alpha.-Cubebene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-menthen-8-ol,8062,4-Menthen-8-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
p-menth-1-en-9-ol,8063,p-Menth-1-en-9-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-3-[4-(propan-2-yl)cyclohex-1-en-1-yl]propanal,8064,2-methyl-3-[4-(propan-2-yl)cyclohex-1-en-1-yl]propanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-pentenyl_isothiocyanate,8065,4-Pentenyl_isothiocyanate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-propylpyrazine,8066,2-Propylpyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-hexylthiophene,8067,2-Hexylthiophene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19872-52-7,8068,19872-52-7,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_propionate,8069,Hexyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
galegine_sulfate,8070,Galegine_sulfate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-bornyl_propionate,8071,2-Bornyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"cyclohexene,_4-ethenyl-4-methyl-3-(1-methylethenyl)-1-(1-methylethyl)-,_(3r-trans)-",8072,"Cyclohexene,_4-ethenyl-4-methyl-3-(1-methylethenyl)-1-(1-methylethyl)-,_(3R-trans)-",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dl-codamine,8073,dl-Codamine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nicotine,8074,nicotine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
s-methyl_3-methylbutanethioate,8075,S-Methyl_3-methylbutanethioate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
aromadendrene,8076,Aromadendrene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-eudesmol,8077,beta-Eudesmol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"limonene_1,2-epoxide",8078,"Limonene_1,2-epoxide",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"(4r,4ar)-1,1,4,7-tetramethyl-1a,2,3,4,4a,5,6,7b-octahydrocyclopropa[e]azulene",8079,"(4R,4aR)-1,1,4,7-tetramethyl-1a,2,3,4,4a,5,6,7b-octahydrocyclopropa[e]azulene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
elemol,8080,Elemol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
curcumene,8081,Curcumene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(+)-camphene,8082,(+)-Camphene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(-)-gamma-cadinene,8083,(-)-gamma-cadinene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
crypton,8084,Crypton,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
prunin,8085,Prunin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-cubebene,8086,beta-Cubebene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,3,5-trithiahexane",8087,"2,3,5-Trithiahexane",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
58461-27-1,8088,58461-27-1,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
santalene,8089,Santalene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"(1ar,4s,4as,7r,7as)-1,1,4,7-tetramethyl-2,3,4a,5,6,7,7a,7b-octahydro-1ah-cyclopropa[e]azulen-4-ol",8090,"(1aR,4S,4aS,7R,7aS)-1,1,4,7-tetramethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"p-menth-8-ene-1,2-diol",8091,"p-Menth-8-ene-1,2-diol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3242-08-8,8092,3242-08-8,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
paradol,8093,Paradol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopulegol_acetate,8094,Isopulegol_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"6,10-dimethyl-2-undecanone",8095,"6,10-Dimethyl-2-undecanone",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-nonenoic_acid,8096,2-Nonenoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nerolidyl_acetate,8097,Nerolidyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-amino-3-(prop-2-en-1-ylsulfanyl)propanoic_acid,8098,2-amino-3-(prop-2-en-1-ylsulfanyl)propanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
campholenic_aldehyde,8099,Campholenic_aldehyde,aromatic,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
allyl_propyl_sulfide,8100,Allyl_propyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
grosheimin,8101,Grosheimin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-isopropenyl-1-methyl-7-oxabicyclo[4.1.0]heptan-2-one,8102,4-Isopropenyl-1-methyl-7-oxabicyclo[4.1.0]heptan-2-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6,6-trimethyl-2-hydroxycyclohexanone",8103,"2,6,6-trimethyl-2-hydroxycyclohexanone",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
globulol,8104,Globulol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cis-carvyl_acetate,8105,cis-Carvyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lavender_lactone,8106,Lavender_lactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol,8107,6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pinocarveol,8108,Pinocarveol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
24851-98-7,8109,24851-98-7,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"4,5-dimethyl-2-propyloxazole",8110,"4,5-Dimethyl-2-propyloxazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
